Sample	cat16-53.trees	cat16-53.sequence04_sequence13	cat16-53.sequence02_sequence04_sequence13	cat16-53.sequence02_sequence04_sequence13_sequence12	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12_sequence10	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12_sequence10_sequence05	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12_sequence10_sequence05_sequence03_sequence11_sequence15_sequence16	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12_sequence10_sequence05_sequence03_sequence11_sequence15_sequence16_sequence14	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12_sequence10_sequence05_sequence03_sequence11_sequence15_sequence16_sequence14_sequence06_sequence08	cat16-53.sequence01_sequence07	cat16-53.sequence11_sequence15	cat16-53.sequence03_sequence11_sequence15	cat16-53.sequence03_sequence11_sequence15_sequence16	cat16-53.sequence06_sequence08	cat16-53.sequence01_sequence07_sequence09	
524	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
528	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
532	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
536	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
540	28.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
544	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
548	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
552	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
556	24.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
560	24.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
564	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
568	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
572	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
576	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
580	28.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
584	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
588	28.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
592	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
596	24.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
