Sample	o.trees	o.trees.clade.0	o.trees.clade.1	o.trees.clade.2	o.trees.clade.3	
557	6.0	1.0	1.0	0.0	0.0	
558	6.0	0.0	1.0	0.0	1.0	
559	8.0	1.0	1.0	0.0	1.0	
560	4.0	0.0	0.0	1.0	0.0	
561	10.0	1.0	1.0	1.0	1.0	
562	6.0	1.0	0.0	0.0	1.0	
563	6.0	1.0	0.0	1.0	0.0	
564	8.0	1.0	1.0	1.0	0.0	
565	10.0	1.0	1.0	1.0	1.0	
566	6.0	1.0	0.0	0.0	1.0	
567	6.0	1.0	1.0	0.0	0.0	
568	8.0	1.0	0.0	1.0	1.0	
569	6.0	1.0	1.0	0.0	0.0	
570	4.0	0.0	0.0	1.0	0.0	
571	8.0	1.0	1.0	0.0	1.0	
572	10.0	1.0	1.0	1.0	1.0	
573	8.0	1.0	1.0	0.0	1.0	
574	10.0	1.0	1.0	1.0	1.0	
575	6.0	1.0	0.0	0.0	1.0	
576	10.0	1.0	1.0	1.0	1.0	
577	8.0	1.0	1.0	1.0	0.0	
578	8.0	1.0	1.0	1.0	0.0	
579	6.0	1.0	0.0	0.0	1.0	
580	6.0	0.0	0.0	1.0	1.0	
581	6.0	0.0	1.0	0.0	1.0	
582	10.0	1.0	1.0	1.0	1.0	
583	8.0	1.0	1.0	1.0	0.0	
584	8.0	1.0	1.0	1.0	0.0	
585	4.0	0.0	0.0	0.0	1.0	
586	8.0	1.0	1.0	1.0	0.0	
587	10.0	1.0	1.0	1.0	1.0	
588	8.0	1.0	1.0	1.0	0.0	
589	8.0	1.0	1.0	0.0	1.0	
590	6.0	1.0	0.0	1.0	0.0	
591	6.0	1.0	1.0	0.0	0.0	
592	8.0	1.0	0.0	1.0	1.0	
593	8.0	1.0	1.0	0.0	1.0	
594	8.0	1.0	1.0	1.0	0.0	
