Sample	cat16-62.trees	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence06_sequence08	cat16-62.sequence01_sequence05_sequence09_sequence03	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-62.sequence07_sequence15	cat16-62.sequence14_sequence11_sequence16	cat16-62.sequence14_sequence11_sequence02	cat16-62.sequence16_sequence02	cat16-62.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence06_sequence08	
295	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
296	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
297	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
298	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
299	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
300	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
301	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
302	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
303	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
304	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
305	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
306	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
307	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
308	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
309	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
310	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
