Sample	cat16-31.trees	cat16-31.sequence04_sequence14_sequence12_sequence16_sequence02_sequence08	cat16-31.sequence01_sequence05_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-31.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-31.sequence14_sequence16_sequence02	
390	28.0	0.0	1.0	0.0	1.0	
391	28.0	1.0	0.0	0.0	1.0	
392	28.0	1.0	0.0	0.0	1.0	
393	28.0	1.0	0.0	0.0	1.0	
394	28.0	0.0	1.0	0.0	1.0	
395	30.0	0.0	0.0	1.0	1.0	
396	28.0	0.0	1.0	0.0	1.0	
397	28.0	0.0	1.0	0.0	1.0	
398	28.0	0.0	1.0	0.0	1.0	
399	28.0	1.0	0.0	0.0	1.0	
400	28.0	0.0	1.0	0.0	1.0	
401	28.0	0.0	1.0	0.0	1.0	
402	28.0	0.0	1.0	0.0	1.0	
403	28.0	0.0	1.0	0.0	1.0	
404	30.0	0.0	0.0	1.0	1.0	
405	28.0	1.0	0.0	0.0	1.0	
406	30.0	0.0	0.0	1.0	1.0	
407	28.0	0.0	1.0	0.0	1.0	
408	30.0	0.0	0.0	1.0	1.0	
409	28.0	0.0	1.0	0.0	1.0	
410	28.0	1.0	0.0	0.0	1.0	
411	30.0	0.0	0.0	1.0	1.0	
412	28.0	1.0	0.0	0.0	1.0	
413	28.0	0.0	1.0	0.0	1.0	
414	28.0	0.0	1.0	0.0	1.0	
415	28.0	0.0	1.0	0.0	1.0	
416	30.0	0.0	0.0	1.0	1.0	
417	28.0	1.0	0.0	0.0	1.0	
418	28.0	1.0	0.0	0.0	1.0	
419	30.0	0.0	0.0	1.0	1.0	
420	28.0	0.0	1.0	0.0	1.0	
421	28.0	0.0	1.0	0.0	1.0	
422	28.0	0.0	1.0	0.0	1.0	
423	30.0	0.0	0.0	1.0	1.0	
424	28.0	0.0	1.0	0.0	1.0	
425	28.0	1.0	0.0	0.0	1.0	
426	28.0	0.0	1.0	0.0	1.0	
427	30.0	0.0	0.0	1.0	1.0	
428	28.0	0.0	1.0	0.0	1.0	
429	28.0	1.0	0.0	0.0	1.0	
430	28.0	0.0	1.0	0.0	1.0	
431	28.0	1.0	0.0	0.0	1.0	
432	28.0	0.0	1.0	0.0	1.0	
433	30.0	0.0	0.0	1.0	1.0	
434	30.0	0.0	0.0	1.0	1.0	
435	28.0	0.0	1.0	0.0	1.0	
436	30.0	0.0	0.0	1.0	1.0	
437	28.0	0.0	1.0	0.0	1.0	
438	28.0	0.0	1.0	0.0	1.0	
439	28.0	1.0	0.0	0.0	1.0	
440	28.0	0.0	1.0	0.0	1.0	
441	30.0	0.0	0.0	1.0	1.0	
442	28.0	0.0	1.0	0.0	1.0	
443	28.0	0.0	1.0	0.0	1.0	
444	30.0	0.0	0.0	1.0	1.0	
445	30.0	0.0	0.0	1.0	1.0	
446	30.0	0.0	0.0	1.0	1.0	
447	30.0	0.0	0.0	1.0	1.0	
448	28.0	0.0	1.0	0.0	1.0	
449	30.0	0.0	0.0	1.0	1.0	
450	28.0	0.0	1.0	0.0	1.0	
451	28.0	1.0	0.0	0.0	1.0	
452	28.0	0.0	1.0	0.0	1.0	
453	30.0	0.0	0.0	1.0	1.0	
454	28.0	0.0	1.0	0.0	1.0	
455	28.0	0.0	1.0	0.0	1.0	
456	30.0	0.0	0.0	1.0	1.0	
457	28.0	0.0	1.0	0.0	1.0	
458	28.0	0.0	1.0	0.0	1.0	
459	30.0	0.0	0.0	1.0	1.0	
460	28.0	0.0	1.0	0.0	1.0	
461	30.0	0.0	0.0	1.0	1.0	
462	28.0	0.0	1.0	0.0	1.0	
463	28.0	0.0	1.0	0.0	1.0	
464	30.0	0.0	0.0	1.0	1.0	
465	28.0	0.0	1.0	0.0	1.0	
466	30.0	0.0	0.0	1.0	1.0	
467	30.0	0.0	0.0	1.0	1.0	
468	30.0	0.0	0.0	1.0	1.0	
469	28.0	1.0	0.0	0.0	1.0	
470	30.0	0.0	0.0	1.0	1.0	
471	30.0	0.0	0.0	1.0	1.0	
472	28.0	0.0	1.0	0.0	1.0	
473	28.0	0.0	1.0	0.0	1.0	
474	28.0	0.0	1.0	0.0	1.0	
475	28.0	0.0	1.0	0.0	1.0	
476	28.0	0.0	1.0	0.0	1.0	
477	28.0	0.0	1.0	0.0	1.0	
478	30.0	0.0	0.0	1.0	1.0	
479	28.0	0.0	1.0	0.0	1.0	
480	28.0	0.0	1.0	0.0	1.0	
481	28.0	0.0	1.0	0.0	1.0	
482	30.0	0.0	0.0	1.0	1.0	
483	28.0	0.0	1.0	0.0	1.0	
484	30.0	0.0	0.0	1.0	1.0	
485	30.0	0.0	0.0	1.0	1.0	
486	28.0	0.0	1.0	0.0	1.0	
487	28.0	0.0	1.0	0.0	1.0	
488	28.0	0.0	1.0	0.0	1.0	
489	28.0	0.0	1.0	0.0	1.0	
490	28.0	0.0	1.0	0.0	1.0	
491	28.0	0.0	1.0	0.0	1.0	
492	30.0	0.0	0.0	1.0	1.0	
493	30.0	0.0	0.0	1.0	1.0	
494	30.0	0.0	0.0	1.0	1.0	
495	30.0	0.0	0.0	1.0	1.0	
496	28.0	0.0	1.0	0.0	1.0	
497	30.0	0.0	0.0	1.0	1.0	
498	28.0	0.0	1.0	0.0	1.0	
499	28.0	0.0	1.0	0.0	1.0	
500	30.0	0.0	0.0	1.0	1.0	
501	28.0	0.0	1.0	0.0	1.0	
502	30.0	0.0	0.0	1.0	1.0	
503	28.0	0.0	0.0	1.0	0.0	
504	28.0	0.0	1.0	0.0	1.0	
505	28.0	0.0	1.0	0.0	1.0	
506	28.0	0.0	1.0	0.0	1.0	
507	28.0	0.0	1.0	0.0	1.0	
508	30.0	0.0	0.0	1.0	1.0	
509	28.0	0.0	1.0	0.0	1.0	
510	30.0	0.0	0.0	1.0	1.0	
511	28.0	0.0	1.0	0.0	1.0	
512	28.0	0.0	1.0	0.0	1.0	
513	30.0	0.0	0.0	1.0	1.0	
514	28.0	0.0	1.0	0.0	1.0	
515	28.0	1.0	0.0	0.0	1.0	
516	28.0	0.0	1.0	0.0	1.0	
517	28.0	0.0	1.0	0.0	1.0	
518	28.0	0.0	1.0	0.0	1.0	
519	30.0	0.0	0.0	1.0	1.0	
520	28.0	0.0	1.0	0.0	1.0	
521	28.0	1.0	0.0	0.0	1.0	
522	30.0	0.0	0.0	1.0	1.0	
523	28.0	0.0	1.0	0.0	1.0	
524	30.0	0.0	0.0	1.0	1.0	
525	28.0	1.0	0.0	0.0	1.0	
526	28.0	0.0	1.0	0.0	1.0	
527	28.0	1.0	0.0	0.0	1.0	
528	28.0	1.0	0.0	0.0	1.0	
529	30.0	0.0	0.0	1.0	1.0	
530	30.0	0.0	0.0	1.0	1.0	
531	28.0	0.0	1.0	0.0	1.0	
532	28.0	0.0	1.0	0.0	1.0	
533	28.0	0.0	1.0	0.0	1.0	
534	28.0	0.0	1.0	0.0	1.0	
535	30.0	0.0	0.0	1.0	1.0	
536	28.0	1.0	0.0	0.0	1.0	
537	28.0	0.0	1.0	0.0	1.0	
538	28.0	0.0	1.0	0.0	1.0	
539	28.0	0.0	1.0	0.0	1.0	
540	28.0	0.0	1.0	0.0	1.0	
541	30.0	0.0	0.0	1.0	1.0	
542	30.0	0.0	0.0	1.0	1.0	
543	28.0	1.0	0.0	0.0	1.0	
544	28.0	0.0	1.0	0.0	1.0	
545	30.0	0.0	0.0	1.0	1.0	
546	28.0	0.0	1.0	0.0	1.0	
547	28.0	0.0	1.0	0.0	1.0	
548	28.0	0.0	1.0	0.0	1.0	
549	28.0	0.0	1.0	0.0	1.0	
550	28.0	0.0	1.0	0.0	1.0	
551	28.0	0.0	1.0	0.0	1.0	
552	28.0	0.0	1.0	0.0	1.0	
