Sample	cat16-85.trees	cat16-85.sequence09_sequence06_sequence08_sequence15	cat16-85.sequence01_sequence04_sequence12_sequence13_sequence02_sequence10	cat16-85.sequence14_sequence11_sequence16	cat16-85.sequence05_sequence14_sequence07_sequence11_sequence03	cat16-85.sequence05_sequence07_sequence16_sequence03	
368	30.0	1.0	1.0	1.0	0.0	0.0	
369	30.0	1.0	1.0	1.0	0.0	0.0	
370	28.0	1.0	1.0	0.0	1.0	0.0	
371	28.0	1.0	1.0	0.0	1.0	0.0	
372	28.0	1.0	1.0	0.0	1.0	0.0	
373	28.0	1.0	1.0	0.0	1.0	0.0	
374	30.0	1.0	1.0	1.0	0.0	0.0	
375	30.0	1.0	1.0	1.0	0.0	0.0	
376	28.0	1.0	1.0	0.0	1.0	0.0	
377	30.0	1.0	1.0	1.0	0.0	0.0	
378	30.0	1.0	1.0	1.0	0.0	0.0	
379	28.0	1.0	1.0	0.0	1.0	0.0	
380	28.0	1.0	1.0	0.0	1.0	0.0	
381	28.0	1.0	1.0	0.0	1.0	0.0	
382	30.0	1.0	1.0	1.0	0.0	0.0	
383	30.0	1.0	1.0	1.0	0.0	0.0	
384	28.0	1.0	1.0	0.0	1.0	0.0	
385	28.0	1.0	1.0	0.0	1.0	0.0	
386	28.0	1.0	1.0	0.0	1.0	0.0	
387	28.0	1.0	1.0	0.0	1.0	0.0	
388	30.0	1.0	1.0	1.0	0.0	0.0	
389	30.0	1.0	1.0	1.0	0.0	0.0	
390	28.0	1.0	1.0	0.0	0.0	1.0	
391	28.0	1.0	1.0	0.0	0.0	1.0	
392	30.0	1.0	1.0	1.0	0.0	0.0	
393	28.0	1.0	1.0	0.0	1.0	0.0	
394	28.0	1.0	1.0	0.0	1.0	0.0	
395	30.0	1.0	1.0	1.0	0.0	0.0	
396	28.0	1.0	1.0	0.0	1.0	0.0	
397	30.0	1.0	1.0	1.0	0.0	0.0	
398	28.0	1.0	1.0	0.0	0.0	1.0	
399	28.0	1.0	1.0	0.0	1.0	0.0	
400	28.0	1.0	1.0	0.0	1.0	0.0	
401	28.0	1.0	1.0	0.0	1.0	0.0	
402	30.0	1.0	1.0	1.0	0.0	0.0	
403	30.0	1.0	1.0	1.0	0.0	0.0	
404	30.0	1.0	1.0	1.0	0.0	0.0	
405	30.0	1.0	1.0	1.0	0.0	0.0	
406	28.0	1.0	1.0	0.0	1.0	0.0	
407	28.0	1.0	1.0	0.0	0.0	1.0	
408	28.0	1.0	1.0	0.0	1.0	0.0	
409	30.0	1.0	1.0	1.0	0.0	0.0	
410	28.0	1.0	1.0	0.0	1.0	0.0	
411	30.0	1.0	1.0	1.0	0.0	0.0	
412	28.0	1.0	1.0	0.0	1.0	0.0	
413	28.0	1.0	1.0	0.0	1.0	0.0	
414	28.0	1.0	1.0	0.0	1.0	0.0	
415	30.0	1.0	1.0	1.0	0.0	0.0	
416	30.0	1.0	1.0	1.0	0.0	0.0	
417	28.0	1.0	1.0	0.0	1.0	0.0	
418	28.0	1.0	1.0	0.0	1.0	0.0	
419	30.0	1.0	1.0	1.0	0.0	0.0	
420	28.0	1.0	1.0	0.0	1.0	0.0	
421	28.0	1.0	1.0	0.0	1.0	0.0	
422	28.0	1.0	1.0	0.0	1.0	0.0	
423	28.0	1.0	1.0	0.0	1.0	0.0	
424	30.0	1.0	1.0	1.0	0.0	0.0	
425	28.0	1.0	1.0	0.0	1.0	0.0	
426	28.0	1.0	1.0	0.0	1.0	0.0	
427	30.0	1.0	1.0	1.0	0.0	0.0	
428	28.0	1.0	1.0	0.0	1.0	0.0	
429	28.0	1.0	1.0	0.0	1.0	0.0	
430	28.0	1.0	1.0	0.0	1.0	0.0	
431	30.0	1.0	1.0	1.0	0.0	0.0	
432	30.0	1.0	1.0	1.0	0.0	0.0	
433	30.0	1.0	1.0	1.0	0.0	0.0	
434	28.0	1.0	1.0	0.0	1.0	0.0	
435	28.0	1.0	1.0	0.0	1.0	0.0	
436	28.0	1.0	1.0	0.0	1.0	0.0	
437	28.0	1.0	1.0	0.0	0.0	1.0	
438	28.0	1.0	1.0	0.0	1.0	0.0	
439	30.0	1.0	1.0	1.0	0.0	0.0	
440	28.0	1.0	1.0	0.0	1.0	0.0	
441	30.0	1.0	1.0	1.0	0.0	0.0	
442	28.0	1.0	1.0	0.0	1.0	0.0	
443	28.0	1.0	1.0	0.0	1.0	0.0	
444	28.0	1.0	1.0	0.0	1.0	0.0	
445	30.0	1.0	1.0	1.0	0.0	0.0	
446	28.0	1.0	1.0	0.0	1.0	0.0	
447	28.0	1.0	1.0	0.0	1.0	0.0	
448	28.0	1.0	1.0	0.0	1.0	0.0	
449	30.0	1.0	1.0	1.0	0.0	0.0	
450	28.0	1.0	1.0	0.0	1.0	0.0	
451	30.0	1.0	1.0	1.0	0.0	0.0	
452	30.0	1.0	1.0	1.0	0.0	0.0	
453	28.0	1.0	1.0	0.0	1.0	0.0	
454	30.0	1.0	1.0	1.0	0.0	0.0	
455	30.0	1.0	1.0	1.0	0.0	0.0	
456	30.0	1.0	1.0	1.0	0.0	0.0	
457	28.0	1.0	1.0	0.0	1.0	0.0	
458	28.0	1.0	1.0	0.0	1.0	0.0	
459	30.0	1.0	1.0	1.0	0.0	0.0	
460	28.0	1.0	1.0	0.0	1.0	0.0	
