Sample	cat16-77.trees	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence16_sequence09_sequence15	cat16-77.sequence01_sequence16	cat16-77.sequence05_sequence11_sequence12_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence09_sequence15	cat16-77.sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-77.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
212	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
213	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
214	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
215	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
216	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
217	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
218	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
219	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
220	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
221	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
222	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
223	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
224	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
225	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
226	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
227	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
228	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
229	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
230	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
231	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
232	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
233	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
234	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
235	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
236	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
237	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
238	28.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
239	28.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
240	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
241	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
242	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
243	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
244	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
245	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
246	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
247	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
248	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
249	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
250	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
251	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
252	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
253	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
254	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
255	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
256	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
