Sample	cat16-74.trees	cat16-74.sequence01_sequence04_sequence14_sequence11_sequence12_sequence03_sequence10	cat16-74.sequence04_sequence14_sequence12_sequence02	cat16-74.sequence11_sequence10	cat16-74.sequence13_sequence08_sequence15	cat16-74.sequence01_sequence03_sequence10	cat16-74.sequence01_sequence11_sequence03	cat16-74.sequence01_sequence11_sequence02_sequence03_sequence10	
233	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
234	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
235	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
236	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
237	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
238	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
239	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
240	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
241	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
242	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
243	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
244	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
245	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
246	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
247	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
248	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
249	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
250	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
251	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
252	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
253	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
254	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
255	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
256	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
257	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
258	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
259	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
260	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
261	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
262	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
263	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
264	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
265	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
266	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
267	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
268	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
269	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
270	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
271	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
272	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
273	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
274	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
275	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
276	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
277	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
278	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
279	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
280	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
281	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
282	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
283	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
284	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
285	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
286	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
287	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
288	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
289	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
290	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
291	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
292	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
293	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
294	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
295	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
296	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
297	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
298	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
299	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
300	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
301	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
302	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
303	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
304	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
305	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
306	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
307	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
308	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
309	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
310	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
311	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
312	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
313	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
314	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
315	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
316	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
317	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
318	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
319	26.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
320	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
321	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
322	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
323	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
324	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
325	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
326	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
327	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
328	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
329	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
330	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
331	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
332	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
333	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
334	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
335	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
336	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
337	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
338	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
339	26.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
340	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
341	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
342	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
343	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
344	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
345	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
346	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
