Sample	cat16-34.trees	cat16-34.sequence01_sequence04_sequence11_sequence13_sequence10	cat16-34.sequence05_sequence11_sequence09_sequence03_sequence08_sequence15	cat16-34.sequence12_sequence06	cat16-34.sequence07_sequence16	cat16-34.sequence12_sequence02	cat16-34.sequence02_sequence06	cat16-34.sequence01_sequence05_sequence04_sequence13_sequence09_sequence03_sequence10_sequence08_sequence15	
294	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
295	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
296	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
297	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
298	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
299	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
300	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
301	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
302	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
303	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
304	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
305	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
306	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
307	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
308	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
309	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
310	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
311	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
312	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
313	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
314	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
315	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
316	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
317	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
318	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
319	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
320	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
321	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
322	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
323	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
324	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
325	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
326	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
327	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
328	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
329	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
330	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
331	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
332	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
333	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
334	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
335	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
336	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
337	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
338	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
339	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
340	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
341	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
342	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
343	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
344	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
345	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
346	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
347	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
348	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
349	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
350	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
351	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
352	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
353	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
354	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
355	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
356	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
357	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
358	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
359	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
360	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
361	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
362	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
363	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
364	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
365	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
