Sample	cat16-14.trees	cat16-14.sequence04_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence10	cat16-14.sequence05_sequence07_sequence16_sequence02_sequence09_sequence06_sequence08	cat16-14.sequence01_sequence04_sequence14_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence13_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence15	cat16-14.sequence14_sequence13	cat16-14.sequence01_sequence15	cat16-14.sequence16_sequence02	cat16-14.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
237	24.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
238	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
239	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
240	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
241	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
242	30.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
243	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
244	26.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	
245	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
246	30.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
247	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
248	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
249	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
250	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
251	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
252	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
