Sample	cat16-17.trees	cat16-17.sequence11_sequence12_sequence13_sequence09_sequence03_sequence08	cat16-17.sequence01_sequence05_sequence04_sequence14_sequence16_sequence02_sequence10_sequence06_sequence15	cat16-17.sequence05_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-17.sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence08	cat16-17.sequence01_sequence04_sequence02_sequence15	cat16-17.sequence05_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-17.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence09_sequence03_sequence08_sequence15	cat16-17.sequence05_sequence14_sequence16_sequence02_sequence10_sequence06	cat16-17.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-17.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence08_sequence15	
197	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
198	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
199	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
200	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
201	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
202	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
203	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
204	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
205	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
206	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
207	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
208	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
209	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
210	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
211	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
212	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
213	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
214	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
215	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
216	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
217	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
218	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
219	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
220	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
221	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
222	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
223	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
224	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
225	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
226	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
227	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
