Sample	cat16-9.trees	cat16-9.sequence01_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10	cat16-9.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-9.sequence14_sequence02_sequence03_sequence06_sequence15	cat16-9.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence08	
375	28.0	1.0	0.0	0.0	1.0	
376	30.0	1.0	0.0	1.0	0.0	
377	28.0	1.0	0.0	0.0	1.0	
378	30.0	1.0	0.0	1.0	0.0	
379	30.0	1.0	0.0	1.0	0.0	
380	30.0	1.0	0.0	1.0	0.0	
381	28.0	1.0	0.0	0.0	1.0	
382	28.0	1.0	1.0	0.0	0.0	
383	30.0	1.0	0.0	1.0	0.0	
384	28.0	1.0	0.0	0.0	1.0	
385	30.0	1.0	0.0	1.0	0.0	
386	30.0	1.0	0.0	1.0	0.0	
387	30.0	1.0	0.0	1.0	0.0	
388	30.0	1.0	0.0	1.0	0.0	
389	30.0	1.0	0.0	1.0	0.0	
390	28.0	1.0	1.0	0.0	0.0	
391	30.0	1.0	0.0	1.0	0.0	
392	30.0	1.0	0.0	1.0	0.0	
393	28.0	1.0	1.0	0.0	0.0	
394	28.0	1.0	0.0	0.0	1.0	
395	28.0	1.0	0.0	0.0	1.0	
396	30.0	1.0	0.0	1.0	0.0	
397	28.0	1.0	0.0	0.0	1.0	
398	28.0	1.0	1.0	0.0	0.0	
399	28.0	1.0	0.0	0.0	1.0	
400	28.0	1.0	0.0	0.0	1.0	
401	28.0	1.0	0.0	0.0	1.0	
402	30.0	1.0	0.0	1.0	0.0	
403	28.0	1.0	0.0	0.0	1.0	
404	30.0	1.0	0.0	1.0	0.0	
405	28.0	1.0	0.0	0.0	1.0	
406	30.0	1.0	0.0	1.0	0.0	
407	28.0	1.0	0.0	0.0	1.0	
408	30.0	1.0	0.0	1.0	0.0	
409	30.0	1.0	0.0	1.0	0.0	
410	30.0	1.0	0.0	1.0	0.0	
411	28.0	1.0	0.0	0.0	1.0	
412	30.0	1.0	0.0	1.0	0.0	
413	30.0	1.0	0.0	1.0	0.0	
414	28.0	1.0	0.0	0.0	1.0	
415	28.0	1.0	0.0	0.0	1.0	
416	28.0	1.0	0.0	0.0	1.0	
417	30.0	1.0	0.0	1.0	0.0	
418	30.0	1.0	0.0	1.0	0.0	
419	28.0	1.0	0.0	0.0	1.0	
420	28.0	1.0	0.0	0.0	1.0	
421	28.0	1.0	0.0	0.0	1.0	
422	30.0	1.0	0.0	1.0	0.0	
423	28.0	1.0	0.0	0.0	1.0	
424	30.0	1.0	0.0	1.0	0.0	
425	30.0	1.0	0.0	1.0	0.0	
426	30.0	1.0	0.0	1.0	0.0	
427	28.0	1.0	0.0	0.0	1.0	
428	28.0	1.0	0.0	0.0	1.0	
429	30.0	1.0	0.0	1.0	0.0	
430	28.0	1.0	1.0	0.0	0.0	
431	28.0	1.0	0.0	0.0	1.0	
432	30.0	1.0	0.0	1.0	0.0	
433	30.0	1.0	0.0	1.0	0.0	
434	30.0	1.0	0.0	1.0	0.0	
435	30.0	1.0	0.0	1.0	0.0	
436	28.0	1.0	0.0	0.0	1.0	
437	28.0	1.0	0.0	0.0	1.0	
438	30.0	1.0	0.0	1.0	0.0	
439	30.0	1.0	0.0	1.0	0.0	
440	30.0	1.0	0.0	1.0	0.0	
441	30.0	1.0	0.0	1.0	0.0	
442	30.0	1.0	0.0	1.0	0.0	
443	28.0	1.0	0.0	0.0	1.0	
444	30.0	1.0	0.0	1.0	0.0	
445	30.0	1.0	0.0	1.0	0.0	
446	30.0	1.0	0.0	1.0	0.0	
447	30.0	1.0	0.0	1.0	0.0	
448	30.0	1.0	0.0	1.0	0.0	
449	28.0	1.0	1.0	0.0	0.0	
450	30.0	1.0	0.0	1.0	0.0	
451	30.0	1.0	0.0	1.0	0.0	
452	28.0	1.0	1.0	0.0	0.0	
453	30.0	1.0	0.0	1.0	0.0	
454	28.0	1.0	0.0	0.0	1.0	
455	28.0	1.0	0.0	0.0	1.0	
456	30.0	1.0	0.0	1.0	0.0	
457	28.0	1.0	0.0	0.0	1.0	
458	30.0	1.0	0.0	1.0	0.0	
459	30.0	1.0	0.0	1.0	0.0	
460	30.0	1.0	0.0	1.0	0.0	
461	28.0	1.0	0.0	0.0	1.0	
462	30.0	1.0	0.0	1.0	0.0	
463	28.0	1.0	1.0	0.0	0.0	
464	30.0	1.0	0.0	1.0	0.0	
465	30.0	1.0	0.0	1.0	0.0	
466	30.0	1.0	0.0	1.0	0.0	
467	30.0	1.0	0.0	1.0	0.0	
468	30.0	1.0	0.0	1.0	0.0	
469	30.0	1.0	0.0	1.0	0.0	
470	30.0	1.0	0.0	1.0	0.0	
471	30.0	1.0	0.0	1.0	0.0	
472	28.0	1.0	0.0	0.0	1.0	
473	28.0	1.0	0.0	0.0	1.0	
474	30.0	1.0	0.0	1.0	0.0	
475	30.0	1.0	0.0	1.0	0.0	
476	30.0	1.0	0.0	1.0	0.0	
477	28.0	1.0	1.0	0.0	0.0	
478	30.0	1.0	0.0	1.0	0.0	
479	30.0	1.0	0.0	1.0	0.0	
480	30.0	1.0	0.0	1.0	0.0	
481	28.0	1.0	0.0	0.0	1.0	
482	30.0	1.0	0.0	1.0	0.0	
483	28.0	1.0	1.0	0.0	0.0	
484	28.0	1.0	0.0	0.0	1.0	
485	30.0	1.0	0.0	1.0	0.0	
486	30.0	1.0	0.0	1.0	0.0	
487	30.0	1.0	0.0	1.0	0.0	
488	30.0	1.0	0.0	1.0	0.0	
489	28.0	1.0	0.0	0.0	1.0	
490	30.0	1.0	0.0	1.0	0.0	
491	28.0	1.0	1.0	0.0	0.0	
492	30.0	1.0	0.0	1.0	0.0	
493	28.0	1.0	1.0	0.0	0.0	
494	30.0	1.0	0.0	1.0	0.0	
495	28.0	1.0	1.0	0.0	0.0	
496	30.0	1.0	0.0	1.0	0.0	
497	28.0	1.0	1.0	0.0	0.0	
498	30.0	1.0	0.0	1.0	0.0	
499	30.0	1.0	0.0	1.0	0.0	
500	30.0	1.0	0.0	1.0	0.0	
501	30.0	1.0	0.0	1.0	0.0	
502	28.0	1.0	0.0	0.0	1.0	
503	30.0	1.0	0.0	1.0	0.0	
504	30.0	1.0	0.0	1.0	0.0	
505	28.0	1.0	0.0	0.0	1.0	
506	30.0	1.0	0.0	1.0	0.0	
507	30.0	1.0	0.0	1.0	0.0	
508	28.0	1.0	0.0	0.0	1.0	
509	30.0	1.0	0.0	1.0	0.0	
510	30.0	1.0	0.0	1.0	0.0	
511	30.0	1.0	0.0	1.0	0.0	
512	30.0	1.0	0.0	1.0	0.0	
513	30.0	1.0	0.0	1.0	0.0	
514	28.0	1.0	1.0	0.0	0.0	
515	28.0	1.0	0.0	0.0	1.0	
516	30.0	1.0	0.0	1.0	0.0	
517	30.0	1.0	0.0	1.0	0.0	
518	30.0	1.0	0.0	1.0	0.0	
519	30.0	1.0	0.0	1.0	0.0	
520	30.0	1.0	0.0	1.0	0.0	
521	30.0	1.0	0.0	1.0	0.0	
522	28.0	1.0	0.0	0.0	1.0	
523	30.0	1.0	0.0	1.0	0.0	
524	30.0	1.0	0.0	1.0	0.0	
525	30.0	1.0	0.0	1.0	0.0	
526	28.0	1.0	1.0	0.0	0.0	
527	30.0	1.0	0.0	1.0	0.0	
528	28.0	1.0	1.0	0.0	0.0	
529	28.0	1.0	0.0	0.0	1.0	
530	30.0	1.0	0.0	1.0	0.0	
531	30.0	1.0	0.0	1.0	0.0	
532	28.0	1.0	1.0	0.0	0.0	
533	28.0	1.0	0.0	0.0	1.0	
534	28.0	1.0	1.0	0.0	0.0	
535	30.0	1.0	0.0	1.0	0.0	
536	28.0	1.0	0.0	0.0	1.0	
537	30.0	1.0	0.0	1.0	0.0	
538	28.0	1.0	0.0	0.0	1.0	
539	28.0	1.0	1.0	0.0	0.0	
540	30.0	1.0	0.0	1.0	0.0	
541	28.0	1.0	1.0	0.0	0.0	
542	30.0	1.0	0.0	1.0	0.0	
543	30.0	1.0	0.0	1.0	0.0	
544	30.0	1.0	0.0	1.0	0.0	
545	30.0	1.0	0.0	1.0	0.0	
