Sample	cat16-39.trees	cat16-39.sequence04_sequence11_sequence16_sequence03	cat16-39.sequence01_sequence11_sequence12_sequence13_sequence09_sequence06_sequence08_sequence15	cat16-39.sequence01_sequence04_sequence12_sequence13_sequence16_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-39.sequence05_sequence07_sequence02_sequence10	cat16-39.sequence05_sequence14_sequence07_sequence02_sequence10	cat16-39.sequence05_sequence14_sequence02_sequence10	cat16-39.sequence14_sequence07	cat16-39.sequence12_sequence06	cat16-39.sequence01_sequence12	cat16-39.sequence01_sequence06	
206	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
207	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
208	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
209	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
210	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
211	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
212	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
213	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
214	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
215	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
216	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
217	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
218	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
219	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
220	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
221	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
222	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
