Sample	cat16-10.trees	cat16-10.sequence01_sequence04_sequence13_sequence16_sequence15	cat16-10.sequence12_sequence09_sequence06	cat16-10.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence08_sequence15	cat16-10.sequence05_sequence14_sequence12_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-10.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence15	
370	28.0	1.0	1.0	1.0	0.0	0.0	
371	30.0	1.0	1.0	0.0	0.0	1.0	
372	28.0	1.0	1.0	0.0	1.0	0.0	
373	30.0	1.0	1.0	0.0	0.0	1.0	
374	30.0	1.0	1.0	0.0	0.0	1.0	
375	28.0	1.0	1.0	1.0	0.0	0.0	
376	28.0	1.0	1.0	0.0	1.0	0.0	
377	30.0	1.0	1.0	0.0	0.0	1.0	
378	30.0	1.0	1.0	0.0	0.0	1.0	
379	28.0	1.0	1.0	0.0	1.0	0.0	
380	28.0	1.0	1.0	0.0	1.0	0.0	
381	30.0	1.0	1.0	0.0	0.0	1.0	
382	28.0	1.0	1.0	0.0	1.0	0.0	
383	30.0	1.0	1.0	0.0	0.0	1.0	
384	30.0	1.0	1.0	0.0	0.0	1.0	
385	28.0	1.0	1.0	1.0	0.0	0.0	
386	30.0	1.0	1.0	0.0	0.0	1.0	
387	28.0	1.0	1.0	0.0	1.0	0.0	
388	28.0	1.0	1.0	0.0	1.0	0.0	
389	28.0	1.0	1.0	0.0	1.0	0.0	
390	28.0	1.0	1.0	0.0	1.0	0.0	
391	28.0	1.0	1.0	1.0	0.0	0.0	
392	28.0	1.0	1.0	1.0	0.0	0.0	
393	30.0	1.0	1.0	0.0	0.0	1.0	
394	28.0	1.0	1.0	0.0	1.0	0.0	
395	30.0	1.0	1.0	0.0	0.0	1.0	
396	28.0	1.0	1.0	0.0	1.0	0.0	
397	28.0	1.0	1.0	0.0	1.0	0.0	
398	28.0	1.0	1.0	0.0	1.0	0.0	
399	28.0	1.0	1.0	0.0	1.0	0.0	
400	28.0	1.0	1.0	1.0	0.0	0.0	
401	28.0	1.0	1.0	0.0	1.0	0.0	
402	28.0	1.0	1.0	0.0	1.0	0.0	
403	28.0	1.0	1.0	1.0	0.0	0.0	
404	30.0	1.0	1.0	0.0	0.0	1.0	
405	28.0	1.0	1.0	1.0	0.0	0.0	
406	28.0	1.0	1.0	0.0	1.0	0.0	
407	30.0	1.0	1.0	0.0	0.0	1.0	
408	30.0	1.0	1.0	0.0	0.0	1.0	
