Sample	cat16-41.trees	cat16-41.sequence09_sequence10	cat16-41.sequence16_sequence09	cat16-41.sequence16_sequence10	
589	28.0	1.0	0.0	0.0	
590	28.0	0.0	0.0	1.0	
591	28.0	0.0	0.0	1.0	
592	28.0	0.0	0.0	1.0	
593	30.0	0.0	1.0	0.0	
594	30.0	0.0	1.0	0.0	
595	30.0	0.0	1.0	0.0	
596	28.0	1.0	0.0	0.0	
597	28.0	0.0	0.0	1.0	
598	28.0	0.0	0.0	1.0	
599	28.0	1.0	0.0	0.0	
600	28.0	1.0	0.0	0.0	
601	30.0	0.0	1.0	0.0	
602	28.0	0.0	0.0	1.0	
603	28.0	0.0	0.0	1.0	
604	28.0	0.0	0.0	1.0	
605	28.0	0.0	0.0	1.0	
606	28.0	1.0	0.0	0.0	
607	28.0	1.0	0.0	0.0	
608	28.0	0.0	0.0	1.0	
609	28.0	1.0	0.0	0.0	
610	30.0	0.0	1.0	0.0	
611	28.0	1.0	0.0	0.0	
612	28.0	1.0	0.0	0.0	
613	28.0	1.0	0.0	0.0	
614	28.0	0.0	0.0	1.0	
615	28.0	0.0	0.0	1.0	
616	28.0	1.0	0.0	0.0	
617	28.0	0.0	0.0	1.0	
618	28.0	0.0	0.0	1.0	
619	30.0	0.0	1.0	0.0	
620	28.0	1.0	0.0	0.0	
621	30.0	0.0	1.0	0.0	
622	28.0	1.0	0.0	0.0	
623	28.0	1.0	0.0	0.0	
624	28.0	1.0	0.0	0.0	
625	28.0	1.0	0.0	0.0	
626	28.0	0.0	0.0	1.0	
627	28.0	1.0	0.0	0.0	
628	28.0	1.0	0.0	0.0	
629	28.0	1.0	0.0	0.0	
630	28.0	1.0	0.0	0.0	
631	28.0	0.0	0.0	1.0	
632	28.0	0.0	0.0	1.0	
633	28.0	1.0	0.0	0.0	
634	28.0	1.0	0.0	0.0	
635	28.0	0.0	0.0	1.0	
636	28.0	1.0	0.0	0.0	
637	28.0	1.0	0.0	0.0	
638	28.0	0.0	0.0	1.0	
639	28.0	1.0	0.0	0.0	
640	30.0	0.0	1.0	0.0	
641	28.0	0.0	0.0	1.0	
642	28.0	0.0	0.0	1.0	
643	28.0	0.0	0.0	1.0	
644	28.0	0.0	0.0	1.0	
645	28.0	1.0	0.0	0.0	
646	28.0	0.0	0.0	1.0	
647	28.0	1.0	0.0	0.0	
648	28.0	0.0	0.0	1.0	
649	28.0	0.0	0.0	1.0	
650	28.0	1.0	0.0	0.0	
651	28.0	0.0	0.0	1.0	
652	28.0	0.0	0.0	1.0	
653	28.0	0.0	0.0	1.0	
654	28.0	0.0	0.0	1.0	
655	28.0	0.0	0.0	1.0	
656	28.0	1.0	0.0	0.0	
657	30.0	0.0	1.0	0.0	
658	28.0	1.0	0.0	0.0	
659	28.0	0.0	0.0	1.0	
660	28.0	1.0	0.0	0.0	
661	28.0	0.0	0.0	1.0	
662	30.0	0.0	1.0	0.0	
663	30.0	0.0	1.0	0.0	
664	28.0	1.0	0.0	0.0	
665	28.0	1.0	0.0	0.0	
666	28.0	1.0	0.0	0.0	
667	28.0	1.0	0.0	0.0	
668	28.0	0.0	0.0	1.0	
669	28.0	1.0	0.0	0.0	
670	28.0	0.0	0.0	1.0	
671	28.0	0.0	0.0	1.0	
672	28.0	0.0	0.0	1.0	
673	28.0	1.0	0.0	0.0	
674	28.0	0.0	0.0	1.0	
675	28.0	0.0	0.0	1.0	
676	28.0	0.0	0.0	1.0	
677	28.0	1.0	0.0	0.0	
678	28.0	1.0	0.0	0.0	
679	30.0	0.0	1.0	0.0	
680	28.0	0.0	0.0	1.0	
681	28.0	1.0	0.0	0.0	
682	30.0	0.0	1.0	0.0	
683	28.0	1.0	0.0	0.0	
684	28.0	0.0	0.0	1.0	
685	28.0	0.0	0.0	1.0	
686	30.0	0.0	1.0	0.0	
687	28.0	1.0	0.0	0.0	
688	30.0	0.0	1.0	0.0	
689	28.0	1.0	0.0	0.0	
690	30.0	0.0	1.0	0.0	
691	28.0	0.0	0.0	1.0	
692	28.0	0.0	0.0	1.0	
693	28.0	0.0	0.0	1.0	
694	30.0	0.0	1.0	0.0	
695	28.0	1.0	0.0	0.0	
696	28.0	0.0	0.0	1.0	
697	30.0	0.0	1.0	0.0	
698	30.0	0.0	1.0	0.0	
699	28.0	0.0	0.0	1.0	
700	28.0	0.0	0.0	1.0	
701	28.0	1.0	0.0	0.0	
702	28.0	1.0	0.0	0.0	
703	28.0	1.0	0.0	0.0	
704	28.0	0.0	0.0	1.0	
705	28.0	1.0	0.0	0.0	
706	28.0	1.0	0.0	0.0	
707	28.0	0.0	0.0	1.0	
708	28.0	1.0	0.0	0.0	
709	28.0	1.0	0.0	0.0	
710	28.0	0.0	0.0	1.0	
711	28.0	0.0	0.0	1.0	
712	28.0	1.0	0.0	0.0	
713	28.0	0.0	0.0	1.0	
714	30.0	0.0	1.0	0.0	
715	30.0	0.0	1.0	0.0	
716	28.0	0.0	0.0	1.0	
