Sample	cat16-52.trees	cat16-52.sequence04_sequence12	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence11_sequence13_sequence02_sequence06_sequence08	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
232	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
233	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
234	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
235	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
236	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
237	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
238	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
239	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
240	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
241	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
242	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
243	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
244	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
245	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
246	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
247	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
248	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
249	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
250	26.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
251	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
252	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
253	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
254	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
255	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
256	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
257	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
258	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
