Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence10_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	
265	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
266	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
267	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
268	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
269	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
270	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
271	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
272	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
273	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
274	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
275	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
276	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
277	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
278	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
279	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
